x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2 C3 C4 C5 C6 C7 C8 C9,continuous
,,,meta,meta,meta
0.39458767,-0.014187735,15.0,leave,C6,0.5709965312314176
1.0379314,-0.053746633,36.0,home,C3,0.6046914687817893
0.64885634,-0.012017906,26.0,register,C6,0.6705062929957473
1.9588598,-0.25808188,118.0,anyone,C8,0.6142255628666778
3.8252742,-0.27603206,177.0,want,C4,0.6682083405181486
1.8273387,-0.16215323,67.0,sell,C8,0.5819989099315555
0.5888697,-0.1253308,36.0,bought,C6,0.6152171157029147
3.2006848,3.2630048,683.0,launch,C2,0.6810331815352948
2.6705678,3.579378,297.0,major,C2,0.6789871992436577
3.7836735,4.3063135,663.0,social,C2,0.6978248941862756
3.4207864,4.2524476,467.0,network,C2,0.7049874138541401
3.1507554,4.0290985,354.0,called,C2,0.6968904281646466
3.717602,4.2062535,587.0,circle,C2,0.7048616068669702
2.338049,3.2956865,237.0,possibly,C2,0.6445557483751141
3.5824661,3.0003145,577.0,today,C2,0.6736881023439367
3.3825767,-0.18644863,168.0,first,C4,0.6471037395533779
3.6711447,-0.4883397,448.0,line,C9,0.657141054314887
0.012697655,-0.0083930055,4.0,engage,C1,0.709906482717676
0.15796773,0.013580839,10.0,spin,C1,0.6825549922951284
1.3431276,0.023630688,38.0,play,C3,0.6359691483095729
0.3231083,-0.027592134,14.0,concept,C6,0.47495897395009257
3.3827362,-0.27589494,150.0,music,C4,0.6411885065335878
1.3163126,-0.06650415,31.0,discovery,C3,0.6592358224695044
-0.025839854,0.08341411,10.0,false,C1,0.6601738044877479
0.3837851,0.13495336,17.0,alarm,C6,0.48901705088683467
0.8553798,0.1311018,36.0,probably,C6,0.5631666602976066
1.6670697,-0.15784307,78.0,ever,C8,0.5359722329388358
1.4690968,1.2937418,98.0,circles,C7,0.6065579065790784
0.22145115,-0.033145558,10.0,force,C1,0.6468749955363284
0.49317133,-0.04898581,13.0,print,C6,0.6355887070622317
1.7170285,0.43819386,56.0,medium,C7,0.48728650816788494
0.1853065,0.038604826,8.0,weather,C1,0.6599937214375136
2.2404501,-0.20925687,70.0,night,C8,0.6547762738779722
0.08006348,-0.010182918,13.0,putting,C1,0.6965915506312019
0.61898273,-0.03385748,19.0,flash,C6,0.675119541300901
1.4161005,0.32568836,224.0,downtown,C7,0.5622102958992219
