word,count
demand,10
option,10
kicking,10
hyatt,10
swisher,10
war,10
playlist,10
innovation,10
reilly,9
wordpress,9
prefer,9
instant,9
vinh,9
hunt,9
record,9
competition,9
confession,9
teamandroid,9
along,9
trending,9
according,9
lead,9
downloads,9
four,9
attention,9
hire,9
currently,9
ahead,9
amazon,9
buyer,9
reveal,9
magic,9
bloody,9
charged,9
understand,9
checkout,9
fake,9
forming,9
rather,9
creative,9
ogilvy,9
cooler,9
realize,9
snap,9
death,9
privacybootcamp,9
swag,9
winner,9
webdoc,9
splash,9
happening,9
wrong,9
grill,9
otherwise,9
holy,9
knew,9
sketch,9
rockin,9
clearly,9
drawing,9
raise,9
aquent,9
cbatsxsw,9
recharge,9
xoom,9
newspaper,9
showed,9
wanted,9
launchrock,9
planning,9
tweeted,9
moving,9
form,9
hopefully,9
whrrl,9
traveling,9
aapl,9
include,9
homeless,9
elegant,9
copy,9
break,9
dark,9
entire,9
impression,9
woot,9
hcsm,9
partylikeits,9
function,9
entered,9
barton,9
wired,9
quite,9
health,9
bankinnovation,9
mass,9
class,9
intel,9
term,9
number,9
factor,9
dennis,9
size,9
clark,9
pull,9
stats,9
return,9
canadian,8
weather,8
effort,8
finger,8
provide,8
welivehere,8
level,8
continued,8
elusive,8
sync,8
blogging,8
alone,8
slide,8
fellow,8
research,8
brother,8
shout,8
respect,8
wall,8
personal,8
breaking,8
geekfest,8
fanboy,8
cant,8
driven,8
pocket,8
sleep,8
cyber,8
chromeos,8
discover,8
topic,8
portable,8
luck,8
rest,8
bound,8
kid,8
boom,8
zazzle,8
ticket,8
domain,8
beat,8
gaga,8
basically,8
foodspotting,8
hint,8
media,8
exist,8
shoot,8
epic,8
rocking,8
strange,8
pile,8
trustworthiness,8
longest,8
designer,8
alert,8
purchased,8
flip,8
surprised,8
highlight,8
observer,8
computing,8
theme,8
concertgoers,8
five,8
problem,8
complete,8
sxswcares,8
bunch,8
advertising,8
spilled,8
staying,8
sxtxstate,8
font,8
needed,8
emc,8
marketplace,8
sense,8
acoustic,8
interaction,8
twit,8
anymore,8
payment,8
fill,8
unless,8
mint,8
keeping,8
outlet,8
guardian,8
attendance,8
iron,8
caring,8
dropped,8
whoa,8
woohoo,8
avoid,8
cash,8
literally,8
cheer,8
popping,8
afar,8
museum,8
object,8
arriving,8
edition,8
piece,8
fsw,8
perfect,8
cisco,8
bjdproductions,8
surrounded,8
quickly,8
speaker,8
hashtag,8
broken,8
qrcode,8
iphones,8
self,8
seem,8
machine,8
deep,8
kara,8
cameron,8
sinclair,8
rate,8
policy,8
strong,7
dollar,7
sprint,7
easier,7
held,7
khoi,7
techie,7
bettercloud,7
recipe,7
somebody,7
studio,7
fado,7
butt,7
despite,7
deck,7
family,7
medical,7
suxsw,7
christmas,7
park,7
taken,7
shipment,7
hundred,7
monday,7
york,7
grateful,7
cnngrill,7
bulletproof,7
rhjr,7
message,7
build,7
starbucks,7
meant,7
american,7
lock,7
mechanic,7
tree,7
facetime,7
brian,7
office,7
author,7
host,7
stranger,7
restaurant,7
registration,7
leaf,7
govt,7
turned,7
finished,7
exciting,7
flying,7
appleatxdt,7
trump,7
lynn,7
timing,7
capture,7
retrollect,7
fell,7
streetview,7
pepsi,7
borrow,7
status,7
zaarly,7
nfusion,7
context,7
ironic,7
drunk,7
hang,7
loved,7
asks,7
etch,7
influence,7
display,7
exists,7
cheese,7
happened,7
shared,7
corporate,7
cvdc,7
sheen,7
third,7
vector,7
tomlinson,7
slap,7
canada,7
rating,7
sxswbuffalo,7
inventory,7
onto,7
seat,7
androidsxsw,7
alive,7
setup,7
normal,7
typing,7
lame,7
decided,7
thousand,7
smartphones,7
reaction,7
checked,7
hackathon,7
screw,7
touching,7
clean,7
bar,7
either,7
nonprofit,7
proof,7
cable,7
tuned,7
shade,7
mostly,7
filmaster,7
pas,7
wssxsw,7
press,7
hair,7
mapping,7
sacca,7
ensues,7
paid,7
hollow,7
autocorrect,7
entrepreneur,7
fully,7
difference,7
eventseekr,7
server,7
virtual,7
billion,7
stumbling,7
hosting,7
wrap,7
patio,7
latism,7
fashion,7
douche,7
ventured,7
switch,7
virgin,7
especially,7
society,7
dgtltribe,7
birthday,7
hisxsw,7
qrafter,7
madness,7
california,7
browserwars,7
road,7
passed,7
cashmore,7
overload,7
ratio,7
mobilefarm,7
panelist,7
preference,7
integration,7
aron,7
pilhofer,7
fave,7
promote,7
spearhead,7
pepsicostage,7
wife,7
scrm,7
wknd,7
devops,7
complex,7
loom,7
young,7
gear,6
awesomely,6
shotgun,6
